APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
7559031001,03/14/2017,Single Family,"635 S BYNNER DR
SAN PEDRO, CA 90732
(33.738399, -118.315752)",SAN PEDRO,CA,90732,15,US Bank National Association,US BANK National Association,612-973-2749,Safeguard,Safeguard Properties,635   Bynner DR  San Pedro CA 90732,216-739-2900
2617013015,01/23/2017,Single Family,"14290 W MINNEHAHA ST
LOS ANGELES, CA 91345
(34.262011, -118.445272)",LOS ANGELES,CA,91345,7,Burbank City Federal Credit Union,Robert Lopez,818-846-1710,"Sables Servco, LLC",Jesse Talavera,30   Corporate Park  450 Irvine CA 92606,714-580-8567
6074014045,02/03/2017,Multi-Family,"221 1/2 W 110TH ST
LOS ANGELES, CA 90061
(33.935648, -118.277023)",LOS ANGELES,CA,90061,8,Dovenmuehle Mortgage Inc. C/o BDF Law,Dovenmuehle Mortgage,813-387-1100,"Dovenmuehle Mortgage, Inc. c/o BDF Law",Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5690019023,02/16/2017,Single Family,"4858 N GLACIER DR
LOS ANGELES, CA 90041
(34.134479, -118.192065)",LOS ANGELES,CA,90041,14,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
5543023022,06/20/2017,Single Family,"1337 N KENMORE AVE
LOS ANGELES, CA 90027
(34.096465, -118.297216)",LOS ANGELES,CA,90027,13,"Wilmington Trust, National Associaiton C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2004021037,01/12/2017,Single Family,"22221 W TIOGA PL
LOS ANGELES, CA 91304
(34.228169, -118.611831)",LOS ANGELES,CA,91304,12,Freedom Mortgage,Jared Huffman,855-690-5900,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
2108011008,03/03/2017,Single Family,"20730 W ROSCOE BLVD
LOS ANGELES, CA 91306
(34.219983, -118.585296)",LOS ANGELES,CA,91306,3,PROPERTY MANAGEMENT GROUP,GARY GARET,818-350-2795,NULL,NULL,,NULL
5089011041,01/10/2017,Single Family,"750 S SPAULDING
LOS ANGELES, CA 90036
(34.061571, -118.358009)",LOS ANGELES,CA,90036,4,"Trojan Capital Investment, LLC",Thanh Vo,877-684-9517,Trojan Capital Investments,Thanh Vo,2681   San Miguel Drive  316 Newport Beach CA 92660,877-684-9517
2706020025,04/10/2017,Single Family,"10427 N VARIEL AVE
LOS ANGELES, CA 91311
",LOS ANGELES,CA,91311,12,Fay Servicing LLC,Grace Wesson,877-338-3791,"Pite Duncan, LLP",Grace Wesson,1920   Main ST 760 Irvine CA 92614,877-338-3791
2340002034,02/13/2017,Single Family,"5948 N WILKINSON AVE
LOS ANGELES, CA 91607
(34.17867, -118.40414)",LOS ANGELES,CA,91607,2,OK LLC,IRINA RUSANOVSKAYA,818-322-0588,NULL,NULL,,NULL
4107019014,01/10/2017,Multi-Family,"8413 S LILIENTHAL AVE
LOS ANGELES, CA 90045
(33.962031, -118.386067)",LOS ANGELES,CA,90045,11,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2120008017,01/12/2017,Single Family,"7718 N HATTON PL
LOS ANGELES, CA 91335
(34.210997, -118.523332)",LOS ANGELES,CA,91335,12,"MUFG Union Bank, N.A.",Souvanny Sipangna,858-457-6404,JSM ENTERPRISES,Mortgage Contracting,1091   7TH ST A CALMESA CA 92320,813-387-1100
5107008010,01/18/2017,Single Family,"1141 E 46TH ST
LOS ANGELES, CA 90011
(34.002031, -118.25534)",LOS ANGELES,CA,90011,9,REVERSE MORTGAGE SOLUTIONS,Josefina Martinez,832-606-5907,L.A. REAL ESTATE NETWORK INC,Ray Duran,1200  W Beverly Boulevard  A Montebello CA 90640,323-724-2420
2509017008,05/26/2017,Single Family,"12880 N PHILLIPPI AVE
LOS ANGELES, CA 91342
(34.304576, -118.435617)",LOS ANGELES,CA,91342,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
2250006025,01/18/2017,Single Family,"5431 N BURNET AVE
VAN NUYS, CA 91411
(34.169452, -118.462885)",VAN NUYS,CA,91411,4,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
2247003005,01/31/2017,Single Family,"5533 N MATILIJA AVE
VAN NUYS, CA 91401
(34.171284, -118.433419)",VAN NUYS,CA,91401,4,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
5015019019,06/22/2017,Single Family,"4929 S WILTON PL
LOS ANGELES, CA 90062
(33.99813, -118.314929)",LOS ANGELES,CA,90062,8,"champion Mortgage Company Nationstar Mortgage LLC, DBA",Darryl Sanders,214-687-4188,Carlos Sims,Carlos Sims,11820   Cherrylee  Dr El Monte CA 91732,626-485-8889
5435007021,06/20/2017,Single Family,"3711 W BOYCE AVE
LOS ANGELES, CA 90039
(34.120948, -118.260929)",LOS ANGELES,CA,90039,13,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2405020019,02/16/2017,Single Family,"7628 N SECURITY AVE
LOS ANGELES, CA 91504
(34.209295, -118.346381)",LOS ANGELES,CA,91504,2,Edward Zubia,Edward Zubia,213-383-2097,JVS Construction Group,Angel Jose,1732  W Slauson AVE  LOS ANGELES CA 90041,818-502-1530
2355001009,01/24/2017,Single Family,"12046 W OTSEGO ST
LOS ANGELES, CA 91607
(34.163049, -118.395926)",LOS ANGELES,CA,91607,2,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093,813-387-1100
2687002011,01/09/2017,Single Family,"16964 W TUPPER ST
LOS ANGELES, CA 91343
(34.239389, -118.502221)",LOS ANGELES,CA,91343,12,"Bayview Loan Servicing, LLC",Cindy Marin,305-631-3760,Bron Inc.,Grace Wesson,41951   Remington AVE  Temecula CA 92590,951-428-2252
2424018020,01/02/2017,Single Family,"10413 W BLOOMFIELD ST
LOS ANGELES, CA 91602
(34.149482, -118.35769)",LOS ANGELES,CA,91602,4,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
4227003010,01/10/2017,Multi-Family,"312 S VENICE BLVD
LOS ANGELES, CA 90291
(33.985622, -118.467829)",LOS ANGELES,CA,90291,11,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
2582022010,01/10/2017,Single Family,"13921 N CANDLEWOOD DR
LOS ANGELES, CA 91342
(34.32524, -118.410536)",LOS ANGELES,CA,91342,7,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5518019019,01/05/2017,Single Family,"153 N CATALINA ST
LOS ANGELES, CA 90004
(34.074233, -118.295437)",LOS ANGELES,CA,90004,13,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,AFS c/o PRIORITY 1 PROPERTY PRESERVATION INC - SOUTH,Bill Kleiser,2780   DOVE TAIL TR  San Marcos CA 92078,800-468-1743
6006020012,05/03/2017,Multi-Family,"320 E GAGE AVE
LOS ANGELES, CA 90003
(33.982441, -118.268871)",LOS ANGELES,CA,90003,9,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
5121013017,06/07/2017,Multi-Family,"3722 S ADAIR ST
LOS ANGELES, CA 90011
(34.012408, -118.26831)",LOS ANGELES,CA,90011,9,SN Servicing Corporation,Angie Solorzano,800-603-0836,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567
5071005040,05/08/2017,Single Family,"1601 S WELLINGTON RD
LOS ANGELES, CA 90019
(34.045132, -118.33083)",LOS ANGELES,CA,90019,10,CitiMortgage,Erin Theobald,877-290-3997,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
5492004115,02/16/2017,Single Family,"241 S AVENUE 57
LOS ANGELES, CA 90402
(34.105945, -118.19229)",LOS ANGELES,CA,90402,1,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
