"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18603377,"2018-06-07 15:08:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","13200 STUDEBAKER RD, NORWALK, CA","13200 STUDEBAKER RD","NORWALK",,"018-08717-0453","0453","08717","CA0190004","NORWALK","N"
18605334,"2018-06-09 17:30:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","44800 27TH ST E, LANCASTER, CA","44800 27TH ST E","LANCASTER",,"018-11452-1135","1135","11452","CA0190024","LANCASTER","N"
18605393,"2018-06-09 18:51:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1200 E ARTESIA BLVD, COMPTON, CA 90221","1200 E ARTESIA BLVD","COMPTON","90221","018-08068-2845","2845","08068","CA0190042","COMPTON","N"
18606770,"2018-06-10 22:08:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","FULLERTON RD AND 60 FWY, CITY OF INDUSTRY, CA","FULLERTON RD AND 60 FWY","CITY OF INDUSTRY",,"018-07698-1418","1418","07698","CA0190014","INDUSTRY","N"
18607359,"2018-06-12 00:37:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","800 N CHESTER AVE, COMPTON, CA","800 N CHESTER AVE","COMPTON",,"018-08188-2824","2824","08188","CA0190042","COMPTON","N"
18611007,"2018-06-14 23:50:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","43800 PONDEROSA ST, LANCASTER, CA","43800 PONDEROSA ST","LANCASTER",,"018-11849-1137","1137","11849","CA0190024","LANCASTER","N"
18612845,"2018-06-16 21:22:43","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","22800 S ISLAND AVE, CARSON, CA 90745","22800 S ISLAND AVE","CARSON","90745","018-06286-1624","1624","06286","CA0190016","CARSON","N"
18612919,"2018-06-17 00:04:41","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1000 N ROSE AVE, COMPTON, CA 90221","1000 N ROSE AVE","COMPTON","90221","018-08517-2822","2822","08517","CA0190042","COMPTON","N"
18612974,"2018-06-17 02:08:04","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","18300 S TOWNE AVE, CARSON, CA 90746","18300 S TOWNE AVE","CARSON","90746","018-06290-1614","1614","06290","CA0190016","CARSON","N"
18613808,"2018-06-18 09:35:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","14800 NELSON AVE, CITY OF INDUSTRY, CA 91744","14800 NELSON AVE","CITY OF INDUSTRY","91744","018-07998-1414","1414","07998","CA0190014","INDUSTRY","N"
18617379,"2018-06-21 02:00:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","15300 S GIBSON AVE, COMPTON, CA 90220","15300 S GIBSON AVE","COMPTON","90220","018-08733-2846","2846","08733","CA0190042","COMPTON","N"
18618143,"2018-06-22 04:44:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","2000 LAS VIRGINES RD, CALABASAS, CA","2000 LAS VIRGINES RD","CALABASAS",,"018-03727-1026","1026","03727","CA0190022","MALIBU/LOST HILLS","N"
18620605,"2018-06-25 02:00:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","10100 LONG BEACH BLVD, LYNWOOD, CA 90262","10100 LONG BEACH BLVD","LYNWOOD","90262","018-09253-2111","2111","09253","CA01900V3","CENTURY","N"
18624011,"2018-06-28 10:34:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","4300 LAVINIA AVE, LYNWOOD, CA 90262","4300 LAVINIA AVE","LYNWOOD","90262","018-09438-2117","2117","09438","CA01900V3","CENTURY","N"
18624639,"2018-06-28 21:27:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","7200 PICO VISTA RD, PICO RIVERA, CA 90660","7200 PICO VISTA RD","PICO RIVERA","90660","018-04585-1517","1517","04585","CA0190015","PICO RIVERA","N"
18626321,"2018-06-30 18:07:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","6200 PALM AVE, MAYWOOD, CA 90270","6200 PALM AVE","MAYWOOD","90270","018-09835-0251","0251","09835","CA0190002","EAST LOS ANGELES","N"
18626455,"2018-06-30 23:17:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","4300 LIVE OAK ST, CUDAHY, CA 90201","4300 LIVE OAK ST","CUDAHY","90201","018-09843-0261","0261","09843","CA0190002","EAST LOS ANGELES","N"
18627351,"2018-07-02 08:14:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","225TH ST E AND AVENUE F, LANCASTER, CA","225TH ST E AND AVENUE F","LANCASTER",,"018-13090-1194","1194","13090","CA0190024","LANCASTER","N"
18629696,"2018-07-04 19:49:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","4100 W 159TH ST, LAWNDALE, CA 90260","4100 W 159TH ST","LAWNDALE","90260","018-05158-0334","0334","05158","CA0190003","SOUTH LOS ANGELES","N"
18603455,"2018-06-06 23:00:00","FORCIBLE RAPE","023","RAPE BY FORCE, FEMALE UNDER 18","8500 GARVEY AVE, ROSEMEAD, CA 91770","8500 GARVEY AVE","ROSEMEAD","91770","018-06977-0533","0533","06977","CA0190005","TEMPLE","N"
18605270,"2018-06-07 10:15:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","8200 ROSECRANS AVE, PARAMOUNT, CA 90723","8200 ROSECRANS AVE","PARAMOUNT","90723","018-12895-1365","1365","12895","CA0190013","LAKEWOOD","N"
18628008,"2018-06-08 09:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","2500 CUDAHY ST, WALNUT PARK, CA 90255","2500 CUDAHY ST","WALNUT PARK","90255","018-09624-2178","2178","09624","CA01900V3","CENTURY","N"
18604452,"2018-06-08 22:00:00","FORCIBLE RAPE","024","ATTEMPT FORCIBLE RAPE, FEMALE UNDER 18","2200 E AVENUE I, LANCASTER, CA","2200 E AVENUE I","LANCASTER",,"018-11387-1135","1135","11387","CA0190024","LANCASTER","N"
18606198,"2018-06-10 15:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","36600 25TH ST E, PALMDALE, CA","36600 25TH ST E","PALMDALE",,"018-08503-2603","2603","08503","CA01900W9","PALMDALE","N"
18616510,"2018-06-11 00:00:00","FORCIBLE RAPE","023","RAPE BY FORCE, FEMALE UNDER 18","1900 E AVENUE J-4, LANCASTER, CA","1900 E AVENUE J-4","LANCASTER",,"018-12270-1137","1137","12270","CA0190024","LANCASTER","N"
18614881,"2018-06-15 03:30:00","FORCIBLE RAPE","022","RAPE, FORCIBLE: Attempt Rape by Force, Female 18 YRS +","1100 N MARTEL, LOS ANGELES, CA 90046","1100 N MARTEL","LOS ANGELES","90046","018-04031-0973","0973","04031","CA0190009","WEST HOLLYWOOD","N"
18616585,"2018-06-15 10:00:00","FORCIBLE RAPE","023","RAPE BY FORCE, FEMALE UNDER 18","10900 COLLEGE PL, CERRITOS, CA 90703","10900 COLLEGE PL","CERRITOS","90703","018-02742-2310","2310","02742","CA01900R7","CERRITOS","N"
18612997,"2018-06-16 02:30:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","27600 SIERRA HWY, CANYON COUNTRY, CA 91351","27600 SIERRA HWY","CANYON COUNTRY","91351","018-08397-0631","0631","08397","CA0190006","SANTA CLARITA VALLEY","N"
18613028,"2018-06-17 04:50:00","FORCIBLE RAPE","023","RAPE BY FORCE, FEMALE UNDER 18","11700 WESTERN AVE, LOS ANGELES, CA 90047","11700 WESTERN AVE","LOS ANGELES","90047","018-04703-0376","0376","04703","CA0190003","SOUTH LOS ANGELES","N"
18615496,"2018-06-17 05:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","URBANDALE AND HONEYCOMB DR, SAUGUS, CA","URBANDALE AND HONEYCOMB DR","SAUGUS",,"018-08550-0649","0649","08550","CA0190006","SANTA CLARITA VALLEY","N"
18613688,"2018-06-17 05:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","19000 LABIN CT, ROWLAND HEIGHTS, CA","19000 LABIN CT","ROWLAND HEIGHTS",,"018-03859-2931","2931","03859","CA0190020","WALNUT","N"
18618097,"2018-06-19 00:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","SIERRA HWY, LANCASTER, CA","SIERRA HWY","LANCASTER",,"018-12366-1123","1123","12366","CA0190024","LANCASTER","N"
18621549,"2018-06-20 10:00:00","FORCIBLE RAPE","027","RAPE BY FORCE, MALE UNDER 18","1300 HACIENDA BLVD, HACIENDA HEIGHTS, CA 91745","1300 HACIENDA BLVD","HACIENDA HEIGHTS","91745","018-08361-1478","1478","08361","CA0190014","INDUSTRY","N"
18616616,"2018-06-20 23:30:00","FORCIBLE RAPE","022","RAPE, FORCIBLE: Attempt Rape by Force, Female 18 YRS +","18200 VALLEY BLVD, EAST VALINDA, CA","18200 VALLEY BLVD","EAST VALINDA",,"018-08132-1443","1443","08132","CA0190014","INDUSTRY","N"
18618081,"2018-06-21 00:30:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","6200 TELEGRAPH RD, COMMERCE, CA","6200 TELEGRAPH RD","COMMERCE",,"018-09381-0245","0245","09381","CA0190002","EAST LOS ANGELES","N"
18616842,"2018-06-21 09:41:45","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","1000 W ALONDRA BLVD, COMPTON, CA 90220","1000 W ALONDRA BLVD","COMPTON","90220","018-08726-2832","2832","08726","CA0190042","COMPTON","N"
18619744,"2018-06-23 03:30:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","1300 KINGS RD, WEST HOLLYWOOD, CA 90069","1300 KINGS RD","WEST HOLLYWOOD","90069","018-04142-0976","0976","04142","CA0190009","WEST HOLLYWOOD","N"
18619941,"2018-06-24 01:15:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","UNKNOWN, DUARTE, CA 91010","UNKNOWN","DUARTE","91010","018-07829-0542","0542","07829","CA0190005","TEMPLE","N"
18620463,"2018-06-24 04:45:00","FORCIBLE RAPE","027","RAPE BY FORCE, MALE UNDER 18","23600 SUMMIT DR, CALABASAS, CA 91302","23600 SUMMIT DR","CALABASAS","91302","018-03787-2249","2249","03787","CA0190022","MALIBU/LOST HILLS","N"
18622977,"2018-06-27 03:30:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","3900 W MANHATTAN BEACH BLVD, LAWNDALE, CA 90260","3900 W MANHATTAN BEACH BLVD","LAWNDALE","90260","018-04983-0338","0338","04983","CA0190003","SOUTH LOS ANGELES","N"
18626421,"2018-06-28 04:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","11200 ELM ST, LYNWOOD, CA 90262","11200 ELM ST","LYNWOOD","90262","018-09546-2114","2114","09546","CA01900V3","CENTURY","N"
18626262,"2018-06-29 23:05:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","4TH AVE AND VALLEY BLVD, BASSETT, CA 91746","4TH AVE AND VALLEY BLVD","BASSETT","91746","018-08663-1462","1462","08663","CA0190014","INDUSTRY","N"
18626078,"2018-06-30 11:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","19500 ELTON CIR, CERRITOS, CA 90703","19500 ELTON CIR","CERRITOS","90703","018-02891-2313","2313","02891","CA01900R7","CERRITOS","N"
