RegionName,State,CountyName,2018-05,Unnamed: 0,Price level,Rating,Latitude,Longitude,House Price Ranking
Los Angeles,CA,Los Angeles,714700,7,,4.7,33.9888277,-118.3340017,Mid
Los Angeles,CA,Los Angeles,714700,11,2,4.6,34.047626,-118.327614,Mid
Los Angeles,CA,Los Angeles,714700,12,,4,34.0516025,-118.2550754,Mid
Los Angeles,CA,Los Angeles,714700,15,2,4.5,34.0771192,-118.2587199,Mid
Los Angeles,CA,Los Angeles,714700,16,2,4.5,34.0828183,-118.3241586,Mid
Los Angeles,CA,Los Angeles,714700,17,2,4.3,34.083804,-118.273852,Mid
Los Angeles,CA,Los Angeles,714700,18,2,4.5,34.0785873,-118.3764199,Mid
Los Angeles,CA,Los Angeles,714700,25,,4.7,33.9888277,-118.3340017,Mid
Los Angeles,CA,Los Angeles,714700,29,,4,34.0516025,-118.2550754,Mid
Los Angeles,CA,Los Angeles,714700,30,2,4.5,34.0771192,-118.2587199,Mid
Los Angeles,CA,Los Angeles,714700,32,2,4.5,34.0828183,-118.3241586,Mid
Los Angeles,CA,Los Angeles,714700,33,2,4.3,34.083804,-118.273852,Mid
Los Angeles,CA,Los Angeles,714700,35,2,4.5,34.0785873,-118.3764199,Mid
Los Angeles,CA,Los Angeles,714700,36,,4.5,34.0822255,-118.3768009,Mid
Los Angeles,CA,Los Angeles,714700,38,2,4.4,34.100517,-118.32927,Mid
Los Angeles,CA,Los Angeles,714700,45,,4.7,33.9888277,-118.3340017,Mid
Los Angeles,CA,Los Angeles,714700,49,2,4.6,34.0427223,-118.2529723,Mid
Los Angeles,CA,Los Angeles,714700,50,2,4.6,34.047626,-118.327614,Mid
Los Angeles,CA,Los Angeles,714700,51,3,4.6,34.0450139,-118.2388682,Mid
Los Angeles,CA,Los Angeles,714700,52,,4,34.0516025,-118.2550754,Mid
Los Angeles,CA,Los Angeles,714700,55,2,4.5,34.0771192,-118.2587199,Mid
Los Angeles,CA,Los Angeles,714700,57,2,4.5,34.0828183,-118.3241586,Mid
Los Angeles,CA,Los Angeles,714700,58,2,4.3,34.083804,-118.273852,Mid
Los Angeles,CA,Los Angeles,714700,68,,4,34.0516025,-118.2550754,Mid
Los Angeles,CA,Los Angeles,714700,70,,4.7,33.9888277,-118.3340017,Mid
Los Angeles,CA,Los Angeles,714700,71,2,4.5,34.0771192,-118.2587199,Mid
Los Angeles,CA,Los Angeles,714700,72,2,4.6,34.118765,-118.179128,Mid
Los Angeles,CA,Los Angeles,714700,74,2,4.3,34.083804,-118.273852,Mid
Los Angeles,CA,Los Angeles,714700,78,2,4.5,34.0828183,-118.3241586,Mid
Los Angeles,CA,Los Angeles,714700,85,,4.7,33.9888277,-118.3340017,Mid
Los Angeles,CA,Los Angeles,714700,89,2,4.6,34.0427223,-118.2529723,Mid
Los Angeles,CA,Los Angeles,714700,90,2,4.6,34.047626,-118.327614,Mid
Los Angeles,CA,Los Angeles,714700,91,3,4.6,34.0450139,-118.2388682,Mid
Los Angeles,CA,Los Angeles,714700,92,,4,34.0516025,-118.2550754,Mid
Los Angeles,CA,Los Angeles,714700,95,2,4.5,34.0771192,-118.2587199,Mid
