RegionID,RegionName,State,Metro,CountyName,2018-05
12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,714700
46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,633200
45457,Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,927000
5534,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,279200
40227,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,309700
54311,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,586700
20008,Pomona,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,422000
47019,Pasadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,921500
54722,Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,866700
45888,Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,571700
24174,Compton,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,389500
17882,East Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,439100
4406,Downey,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,572400
53636,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,480100
51861,El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,516300
396054,Burbank,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,831200
14542,West Covina,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,568000
47762,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,431700
26964,Santa Monica,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2665300
42150,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,618000
50677,Alhambra,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,710700
12292,Lakewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,582700
14634,Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,580200
10723,Carson,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,540400
