,ethnicity,name,address,price_level,rating
0,chinese,Panda Express,"1608 Pacific Coast Hwy, Harbor City",1,4.1
1,french,Creme De La Crepe REDONDO,"1708 1/2 S Catalina Ave, Redondo Beach",2,4.2
2,greek,Daphne's California Greek,"25420 Crenshaw Blvd, Torrance",1,4.3
3,indian,Famous Tandoori,"1817 Pacific Coast Hwy, Lomita",1,4.5
4,italian,Philipos Pizza & Pasta,"1206 Pacific Coast Hwy, Harbor City",1,4.6
5,japanese,Hanabi Japanese Grill,"1111 W Pacific Coast Hwy, Harbor City",2,3.6
6,korean,Pine Tree,"25890 S Western Ave, Harbor City",2,4.2
7,mexican,Monarcas Mexican Food,"1220 Pacific Coast Hwy, Harbor City",1,4.8
8,new american,STACKED,"3525 W Carson St, Torrance",2,4.4
9,soul food,R & R Soulfood,"18427 S Avalon Blvd, Carson",,4.3
10,spanish,Alegria Cocina Latina,"115 Pine Ave, Long Beach",2,3.9
11,thai,Sa Ung Thai Restaurant,"1111 W Pacific Coast Hwy #19, Harbor City",,4.6
12,vietnamese,Pho 1945,"1945 Pacific Coast Hwy, Lomita",1,4.6
