zip_code,latitude,longitude,city,state,county
90001,33.973951,-118.248405,Los Angeles,CA,Los Angeles
90002,33.950514,-118.245855,Los Angeles,CA,Los Angeles
90003,33.949164,-118.273156,Los Angeles,CA,Los Angeles
90004,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90005,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90006,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90007,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90008,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90009,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90010,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90011,33.989264,-118.250056,Los Angeles,CA,Los Angeles
90012,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90013,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90014,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90015,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90016,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90017,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90018,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90019,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90020,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90021,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90022,33.896564,-118.176502,Los Angeles,CA,Los Angeles
90023,34.008262,-118.196055,Los Angeles,CA,Los Angeles
90024,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90025,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90026,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90027,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90028,34.014613,-118.225606,Los Angeles,CA,Los Angeles
90029,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90030,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90031,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90032,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90033,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90034,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90035,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90036,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90037,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90038,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90039,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90040,33.990863,-118.153153,Los Angeles,CA,Los Angeles
90041,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90042,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90043,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90044,33.938108,-118.285706,Los Angeles,CA,Los Angeles
90045,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90046,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90047,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90048,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90049,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90050,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90051,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90052,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90053,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90054,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90055,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90056,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90057,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90058,33.999433,-118.213255,Los Angeles,CA,Los Angeles
90059,33.921065,-118.244955,Los Angeles,CA,Los Angeles
90060,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90061,33.920965,-118.275356,Los Angeles,CA,Los Angeles
90062,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90063,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90064,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90065,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90066,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90067,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90068,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90069,33.786594,-118.298662,West Hollywood,CA,Los Angeles
90070,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90071,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90072,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90073,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90074,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90075,33.786594,-118.298662,Los Angeles,CA,Los Angeles
90076,33.786594,-118.298662,Los Angeles,CA,Los Angeles
